"","GSM2233086","GSM2233087","GSM2233088","GSM2233089","GSM2233090","GSM2233091","GSM2233092","GSM2233093","GSM2233094","GSM2233095","GSM2233096","GSM2233097","GSM2233098","GSM2233099","GSM2233100","GSM2233101","GSM2233102","GSM2233103","GSM2233104","GSM2233105","GSM2233106","GSM2233107","GSM2233108","GSM2233109","GSM2233110","GSM2233111","GSM2233112","GSM2233113"
"1553589_a_at",51.7,75.2,178.5,18.6,65,19,22.7,53.5,12,17.6,13.9,34.3,16.8,34.7,82.7,38,12.8,30.6,539.1,0.9,14.3,12,7.9,63.5,27,19.5,15.9,8
"1552610_a_at",37.7,320.1,361.8,181.1,271.5,149.7,116.6,217.5,224.1,224.5,104.7,75.1,145.4,223.8,171.7,143.5,51.1,142.7,294.3,200.1,414.9,285.7,42.6,80,86.7,49.2,91.5,158.3
"1552621_at",44.6,276.2,324,103.5,207.4,151.3,400.6,130.4,251.1,89.9,113.8,107.6,259.5,135.3,267.7,195.3,217.7,139,207.8,130.4,350.4,122.2,160.1,44.2,155.3,37,124.5,84.4
"1552568_at",57.5,322.2,151.2,160.1,85.4,97.8,6.4,170.8,13.3,80.4,13.7,92.9,40,78.2,315.2,235.1,34.4,121.9,43.5,207.7,23,246.9,4.4,59.8,29.7,63.2,8,88.7
"1552617_a_at",44.1,124,364.7,118.9,255.2,102,150.6,99.9,172.7,99.9,155,65.6,210.3,121.8,365.1,224.7,150.9,107,165.4,86.1,360.6,122.1,90.5,47.5,93.1,49.8,126.9,79.2
"1552280_at",2.5,85.1,205.9,267.5,7.7,57.6,22.1,341.5,0.9,193.6,16,59.7,9.1,74.3,1.7,84.8,2.7,65.7,17.6,85,42.5,53.1,17.5,20,7.6,57,10,17.7
"1552767_a_at",14.6,8.9,5.5,5.3,7.6,13.8,34.6,28.2,280.1,5.4,174.5,6.9,263.1,20.2,11.7,5.2,87.1,9.7,38.2,14.2,13.1,16.2,56.7,9.7,9.4,6.9,228.8,9
"1007_s_at",31.5,132.7,121.7,66.9,133.6,71.7,235.9,90.2,85.8,48.8,135.3,33.8,312.6,160.7,139.6,98.7,204.1,55.8,285.9,52,194.9,75.5,76.9,89.4,68.4,57.6,93.5,61.4
"1552790_a_at",28.1,191.3,192.1,183.2,284.7,152.4,110.9,156.8,110.5,145,52.7,78.8,317.3,113.6,193.7,145.6,72,124.4,93.4,162.3,140,215.8,30.7,74.6,50.3,53.4,39.8,168
"1552727_s_at",2.5,55.2,69.8,26.6,402.5,80.2,18.7,45.3,11.9,38,32.1,12.1,76.7,37,57.2,41.3,35.5,37.4,8.3,41.1,86.1,58,17.6,27.1,14.8,36.9,22.6,23.1
"1552477_a_at",22.2,67.4,151,30.2,109.8,49.5,26.2,68,27.1,40.3,13.1,34.6,44.2,21.2,346.6,174.2,107.8,70.2,141.1,61.4,10.2,101.9,1.3,31.3,82.5,21.8,16.6,48
"1552880_at",36.3,106.8,189.7,65.9,94.8,52.2,23.4,139.7,37.3,76.1,65.5,80.4,96.8,58,358.7,204.6,68.1,54.1,32.6,110.5,109.2,94.8,22.6,57,38.2,35.6,55.4,94.4
"1552257_a_at",24.2,121.4,149.4,97.8,163,109.4,83.4,104.8,107.6,63.3,179.9,67.5,370.7,96.5,256,175.8,81.4,95.4,117.5,110.5,159.2,124.4,125.1,49.1,52.7,55.9,97,65.3
"1553186_x_at",50.2,51.8,96.2,42.8,73.1,36.2,132.5,76.2,222.3,62.8,124.9,66.6,200.9,93.4,280.8,165.9,83.7,103,114,54,148.8,63.7,175.7,125.2,224.5,66.7,229.6,113.7
"1552701_a_at",4.4,292.3,169.2,117.3,33.7,74.8,125.2,211.5,52.6,107.1,46.7,92.8,143,130.5,81.4,84.1,47.5,87.5,163.1,81.2,188.5,37.2,32.4,59.5,171,82.6,79,60.7
"1552615_at",65.2,188.9,184.8,134.4,208.2,111.5,158.9,129.1,102.5,118.8,81.5,120.2,140.6,131.3,135,143.1,77.6,137.2,93,209.1,168.2,335.7,77.5,71.7,111.9,82.8,87.9,127.8
"1552726_at",4.8,34.7,54.3,7,289.9,49.9,21.8,31.9,2,31.5,18.7,23.5,62.1,21.2,33.9,27.1,4.6,29.4,2.9,27.2,59.1,51.3,2.8,8.2,18.2,26.2,18.6,29.7
"1553218_a_at",36.2,98,119.2,63,138.4,72.1,96.3,82.1,198.3,47,93.8,38.7,160.2,101.4,207.6,139.2,93.7,85.3,110.4,71.9,175.7,94.9,17.7,29.3,47.7,30.4,44.5,34.2
"1552389_at",0.5,37.6,113,15.3,89,31.7,219.3,22.8,12.1,19.6,47.1,15.8,15.2,27.8,64.7,31.2,109.1,28.6,44,18.6,170,35,31.2,12.3,57.4,4.6,26.7,16.4
"1553101_a_at",25.2,129.9,130.2,53.5,91,74.6,135.7,125.1,208.7,98.4,103.1,94.8,222.2,128,193.9,136.5,51.7,104.6,144.8,123.3,136.5,166.7,62.1,44.2,56.8,43.6,86.2,104.5
"1553581_s_at",23.5,104,167.4,86,97.8,81.6,187.4,73.1,92.2,53,83,44.3,198.3,59,198,148.1,85.2,69.2,152.2,72.6,169,93.3,87.5,37.7,74.1,42.9,101.1,57
"1552656_s_at",45,85.1,209,65.8,157.3,44.3,53.6,38,154.6,37.3,16.9,25.4,34.6,31.6,78.1,38,11.7,26.8,59.6,48.6,103.5,49.8,16.6,14.1,16.4,1.2,11.2,15.2
"1552622_s_at",38.9,155.8,179.4,48.1,144.8,94.6,205.4,87.9,133.8,58.1,56.4,66.9,133.1,87.3,160.2,106.2,145.2,84.1,92.2,88,188.8,82.4,102.4,39.5,127.7,22.7,77.9,48
"1553118_at",8.4,53.6,160.1,48.6,83.4,31.2,52.4,38.1,245.4,42.5,39.8,42.9,79,34.3,98.6,61,56.5,36.5,82.5,48,91.7,47.6,28,10.3,36.8,0.8,55.8,36.5
"1553575_at",100.9,159,188.7,127.4,140.7,109.8,128.9,137.7,245,133.8,150.2,86.6,46.5,35.7,124.3,60.8,50.5,50.1,70.6,46,153.9,73.5,84,132.5,126,117.4,120.6,85.3
"1552504_a_at",35.9,36.5,88.3,29.5,195.6,44.7,1.8,49.5,73.5,29.6,42.2,22.8,147.7,30.6,131.3,84.4,32,31.5,60.6,24.8,159.6,32.2,55,29.3,36.8,23.1,69.9,4.6
"1487_at",18.9,129,131.2,80.8,238.7,89.8,73.9,146.5,144.3,82.2,103.4,85.9,131.7,73,178.2,155.5,61.3,103.4,69.7,114.4,223.3,143.7,85.3,98.2,102.3,101,96.1,89.9
"1552611_a_at",36.8,223,183.7,85.7,188.7,122.7,143.1,152.8,152.1,165.3,81.9,89.9,101.8,100.2,109.1,102.3,67.5,103.7,181.6,101.4,216.8,132.2,47,146.1,142.7,92.6,132,161.6
"1552703_s_at",11.7,197.7,140,101.2,54.1,56.2,82.6,164.4,69.1,69.6,48.1,48.6,93.2,134.9,79.9,50.8,20.9,66.1,183.3,71.9,146.6,84.7,26.7,60,79.2,69.9,57.6,99
"1552977_a_at",37.3,86.3,113.7,92.7,197.9,76.9,89.5,116.8,136.5,63.3,44,56.5,159.7,84.6,143.7,122.3,61.7,102.5,86.7,124.7,158,159.9,36.4,34.8,53.8,40.1,41.5,69.7
"1552278_a_at",10.2,51.7,51.8,38.4,190.9,47.5,2.9,74.7,37.1,22.9,42.9,24.3,41.9,31.9,175.7,105.6,46.6,32.5,31.9,49.7,113.2,31.1,24.6,21.4,20,21.8,31.6,28.3
"1553274_a_at",27,81.9,161.7,63.9,180.6,60,118.1,106,135.9,45.7,45.7,33.2,117.1,35.8,116.8,108.3,41.1,50.7,75,52.6,93,91.1,51.7,13.1,19.9,17.9,28.2,41.3
"1552978_a_at",12.3,107.6,118.5,62.2,173.5,55,130.3,46.1,111.8,36.9,25.9,39.4,61.9,51.4,119.8,65.4,25.9,55.4,99.9,40.8,139.9,80.4,22.7,23,28.1,25.7,26.2,36.9
"1553297_a_at",20.2,99.6,120.1,54.6,53.8,78.3,42.1,91.5,211.5,66.1,147.1,85,64.3,110.7,61.8,82,22.9,74.5,85.5,59.7,78,66.3,157.4,48.5,32.6,55.3,29.6,53.7
"1552279_a_at",70.2,90.9,100.6,60.2,201.1,76.8,31.5,57.6,56.9,80.1,95.7,72,149.9,59.5,155.5,116.7,64.8,106.4,42.4,115.5,166.5,124.9,43.5,68.9,56,31.7,64.2,73.6
"1553535_a_at",9.1,106.3,93.7,60.2,71.3,37.3,98,61.9,118.4,42.5,68.6,47,158.8,101.2,109.7,130.1,131.9,38,103.1,69.9,180.2,76.2,84,28.8,27.6,30,64.3,58.7
"1552473_at",5.2,106.3,81.9,66.2,83.6,54,4.5,68.8,8.1,102,27.8,88.2,79,39.7,169.2,134.4,67.5,124.2,53.1,105.2,43.5,122.7,21.9,59.2,63.4,33.3,21.7,77.1
