"GeneID","MeanExpression","Variance"
"1007_s_at",114.817857142857,5363.46448412698
"1053_at",55.1392857142857,1398.71358465608
"117_at",75.1964285714286,38050.0662830688
"121_at",78.5964285714286,1009.34998677249
"1255_g_at",4.33214285714286,7.25337301587302
"1294_at",63.9142857142857,531.140529100529
"1316_at",24.3214285714286,105.094338624339
"1320_at",6.16428571428571,36.5238624338624
"1405_i_at",121.353571428571,20176.0433201058
"1431_at",3822.00714285714,4983478.92068783
"1438_at",6.10714285714286,41.2569841269841
"1487_at",112.557142857143,2223.68846560847
"1494_f_at",1071.29642857143,1445390.00035714
"1552256_a_at",534.053571428571,173672.638875661
"1552257_a_at",118.007142857143,4801.57328042328
"1552258_at",19.3464285714286,157.509246031746
"1552261_at",14.7107142857143,64.9528439153439
"1552263_at",26.2857142857143,173.71164021164
"1552264_a_at",58.6607142857143,819.858029100529
"1552266_at",11.5678571428571,78.6052248677249
"1552269_at",2.40357142857143,7.20406084656085
"1552271_at",13.1678571428571,124.643002645503
"1552272_a_at",17.4821428571429,175.048187830688
"1552274_at",40.3642857142857,831.948306878307
"1552275_s_at",36.1,719.688888888889
"1552276_a_at",9.80357142857143,66.8196164021164
"1552277_a_at",73.5428571428571,1088.33291005291
"1552278_a_at",50.1107142857143,2010.12988095238
"1552279_a_at",86.9142857142857,1784.25312169312
"1552280_at",65.2285714285714,7317.16137566138
"1552281_at",188.378571428571,24077.8165608466
"1552283_s_at",50.8071428571429,858.103650793651
"1552286_at",24.8785714285714,304.411375661376
"1552287_s_at",54.7535714285714,685.629986772487
"1552288_at",10.4785714285714,61.8824867724868
"1552289_a_at",11.4392857142857,104.657288359788
"1552291_at",29.8785714285714,327.510634920635
"1552293_at",4.78928571428571,16.5928439153439
"1552295_a_at",58.7428571428571,1379.82253968254
"1552296_at",7.80357142857143,90.6536904761905
"1552299_at",9.50357142857143,51.4270238095238
"1552301_a_at",26.6071428571429,107.834021164021
"1552302_at",37.7785714285714,815.272116402116
"1552303_a_at",39.9535714285714,410.327023809524
"1552304_at",6.01071428571429,24.3654365079365
"1552306_at",8.42142857142857,29.687671957672
"1552307_a_at",278.871428571429,32783.211005291
"1552309_a_at",21.1535714285714,89.3359126984127
"1552310_at",59.6678571428571,1360.53041005291
"1552311_a_at",45.25,440.344074074074
"1552312_a_at",23.5071428571429,378.251798941799
"1552314_a_at",9.08928571428571,55.7498809523809
"1552315_at",30.5714285714286,246.711746031746
"1552316_a_at",50.5964285714286,775.612208994709
"1552318_at",27.6928571428571,235.581428571429
"1552319_a_at",19.5607142857143,96.2861772486772
"1552320_a_at",7.38928571428571,15.7624735449735
"1552321_a_at",2.61428571428571,5.87015873015873
"1552322_at",4.80357142857143,12.6499867724868
"1552323_s_at",9.78928571428571,27.3713624338624
"1552325_at",5.65357142857143,18.0055423280423
"1552326_a_at",6.30714285714286,24.1332804232804
"1552327_at",13.0321428571429,97.7067063492064
"1552329_at",36.1392857142857,356.406177248677
"1552330_at",33.3785714285714,646.299523809524
"1552332_at",11.3357142857143,51.1727513227513
"1552334_at",24.9214285714286,283.483227513228
"1552335_at",6.06785714285714,25.7970767195767
"1552337_s_at",7.56428571428571,160.583121693122
"1552338_at",0.942857142857143,0.172169312169312
"1552340_at",3.68571428571429,11.2175661375661
"1552343_s_at",22.6892857142857,158.029880952381
"1552344_s_at",25.4571428571429,229.993650793651
"1552347_at",71.8678571428571,1354.95633597884
"1552348_at",7.28214285714286,48.0741137566138
